Week,Nationality,Count
03/02/2023,Ukrainian,4
03/02/2023,Russian,5
03/02/2023,Other,1
10/02/2023,Ukrainian,3
10/02/2023,Russian,5
10/02/2023,Other,2
17/02/2023,Ukrainian,4
17/02/2023,Russian,3
17/02/2023,Other,3
24/02/2023,Ukrainian,3
24/02/2023,Russian,4
24/02/2023,Other,3
03/03/2023,Ukrainian,4
03/03/2023,Russian,5
03/03/2023,Other,1
10/03/2023,Ukrainian,5
10/03/2023,Russian,3
10/03/2023,Other,2
17/03/2023,Ukrainian,4
17/03/2023,Russian,5
17/03/2023,Other,1
24/03/2023,Ukrainian,5
24/03/2023,Russian,3
24/03/2023,Other,2
31/03/2023,Ukrainian,4
31/03/2023,Russian,3
31/03/2023,Other,3
07/04/2023,Ukrainian,4
07/04/2023,Russian,4
07/04/2023,Other,2
14/04/2023,Ukrainian,6
14/04/2023,Russian,3
14/04/2023,Other,1
21/04/2023,Ukrainian,5
21/04/2023,Russian,4
21/04/2023,Other,1
28/04/2023,Ukrainian,5
28/04/2023,Russian,3
28/04/2023,Other,2
05/05/2023,Ukrainian,5
05/05/2023,Russian,3
05/05/2023,Other,2
12/05/2023,Ukrainian,5
12/05/2023,Russian,3
12/05/2023,Other,2
19/05/2023,Ukrainian,6
19/05/2023,Russian,2
19/05/2023,Other,2
26/05/2023,Ukrainian,6
26/05/2023,Russian,2
26/05/2023,Other,2
02/06/2023,Ukrainian,5
02/06/2023,Russian,2
02/06/2023,Other,3
09/06/2023,Ukrainian,5
09/06/2023,Russian,2
09/06/2023,Other,3
16/06/2023,Ukrainian,6
16/06/2023,Russian,2
16/06/2023,Other,2
23/06/2023,Ukrainian,6
23/06/2023,Russian,2
23/06/2023,Other,2
30/06/2023,Ukrainian,6
30/06/2023,Russian,1
30/06/2023,Other,3
07/07/2023,Ukrainian,7
07/07/2023,Russian,1
07/07/2023,Other,2
14/07/2023,Ukrainian,6
14/07/2023,Russian,2
14/07/2023,Other,2
21/07/2023,Ukrainian,6
21/07/2023,Russian,2
21/07/2023,Other,2
28/07/2023,Ukrainian,3
28/07/2023,Russian,2
28/07/2023,Other,5
04/08/2023,Ukrainian,7
04/08/2023,Russian,1
04/08/2023,Other,2
11/08/2023,Ukrainian,7
11/08/2023,Russian,1
11/08/2023,Other,2
18/08/2023,Ukrainian,5
18/08/2023,Russian,3
18/08/2023,Other,2
25/08/2023,Ukrainian,5
25/08/2023,Russian,2
25/08/2023,Other,3
01/09/2023,Ukrainian,4
01/09/2023,Russian,3
01/09/2023,Other,3
08/09/2023,Ukrainian,4
08/09/2023,Russian,3
08/09/2023,Other,3
15/09/2023,Ukrainian,4
15/09/2023,Russian,3
15/09/2023,Other,3
22/09/2023,Ukrainian,5
22/09/2023,Russian,2
22/09/2023,Other,3
29/09/2023,Ukrainian,5
29/09/2023,Russian,3
29/09/2023,Other,2
06/10/2023,Ukrainian,4
06/10/2023,Russian,2
06/10/2023,Other,4
13/10/2023,Ukrainian,4
13/10/2023,Russian,3
13/10/2023,Other,3
20/10/2023,Ukrainian,5
20/10/2023,Russian,2
20/10/2023,Other,3
27/10/2023,Ukrainian,3
27/10/2023,Russian,3
27/10/2023,Other,4
03/11/2023,Ukrainian,3
03/11/2023,Russian,4
03/11/2023,Other,3
10/11/2023,Ukrainian,3
10/11/2023,Russian,3
10/11/2023,Other,4
17/11/2023,Ukrainian,3
17/11/2023,Russian,4
17/11/2023,Other,3
24/11/2023,Ukrainian,3
24/11/2023,Russian,3
24/11/2023,Other,4
01/12/2023,Ukrainian,3
01/12/2023,Russian,3
01/12/2023,Other,4
08/12/2023,Ukrainian,3
08/12/2023,Russian,4
08/12/2023,Other,3
15/12/2023,Ukrainian,3
15/12/2023,Russian,4
15/12/2023,Other,3
22/12/2023,Ukrainian,3
22/12/2023,Russian,4
22/12/2023,Other,3
29/12/2023,Ukrainian,4
29/12/2023,Russian,3
29/12/2023,Other,3
05/01/2024,Ukrainian,4
05/01/2024,Russian,3
05/01/2024,Other,3
12/01/2024,Ukrainian,2
12/01/2024,Russian,4
12/01/2024,Other,4
19/01/2024,Ukrainian,4
19/01/2024,Russian,3
19/01/2024,Other,3
26/01/2024,Ukrainian,4
26/01/2024,Russian,3
