Year,Language,Count
2019,Both,5
2019,Other,2
2019,RU,15
2019,UA,3
2020,Both,4
2020,Other,1
2020,RU,16
2020,UA,4
2021,Both,2
2021,Other,2
2021,RU,14
2021,UA,7
2022,Both,4
2022,RU,6
2022,UA,15
2023,Both,5
2023,Other,2
2023,RU,4
2023,UA,14
2024,Both,3
2024,Other,2
2024,RU,5
2024,UA,15
