,2018,2019,2020,2021,2022,2023,2024
Audiobooks,3.6,7.6,15,27,37.7,37,32.2
eBooks,0.1,0.8,-9.1,1.9,-82.6,199.1,4.2
Physical books,-1.5,-0.7,-19.6,6.8,-83,217,5.3
Total,-1.1,-0.2,-17,6.5,-78.5,172.2,8.3
