"name","latitude","longitude"
"Клуб Сімейного Дозвілля",51.498889,31.289444
"Клуб Сімейного Дозвілля",50.334167,26.651667
"Клуб Сімейного Дозвілля",48.267778,25.937778
"Клуб Сімейного Дозвілля",48.512778,34.612778
"Клуб Сімейного Дозвілля",47.813611,35.180556
"Клуб Сімейного Дозвілля",49.068333,33.415278
"Клуб Сімейного Дозвілля",50.4425,30.520556
"Клуб Сімейного Дозвілля",50.034167,36.221944
"Книгарні-кав'ярні старого лева",48.438611,35.051389
"Книгарні-кав'ярні старого лева",50.453611,30.5225
"Книгарні-кав'ярні старого лева",50.448333,30.518056
"Книгарні-кав'ярні старого лева",49.834167,24.013056
"Книгарні-кав'ярні старого лева",49.840278,24.031111
"Книгарні-кав'ярні старого лева",49.842222,24.03
"Книгарні-кав'ярні старого лева",49.851667,24.051667
"Книгарні-кав'ярні старого лева",49.839444,24.040833
"Книгарні-кав'ярні старого лева",49.785278,24.015278
"Книгарні-кав'ярні старого лева",46.486667,30.738056
"Книгарні-кав'ярні старого лева",48.918889,24.711667
"Мережа книгарень Книголенд",50.351667,30.951111
"Мережа книгарень Книголенд",50.514722,30.783056
"Мережа книгарень Книголенд",48.416667,35.061667
"Мережа книгарень Книголенд",48.940833,24.737778
"Мережа книгарень Книголенд",50.519722,30.243611
"Мережа книгарень Книголенд",50.414444,30.650833
"Мережа книгарень Книголенд",50.454722,30.611111
"Мережа книгарень Книголенд",50.489722,30.495556
"Мережа книгарень Книголенд",50.458889,30.3575
"Мережа книгарень Книголенд",50.495278,30.359167
"Мережа книгарень Книголенд",50.516111,30.601944
"Мережа книгарень Книголенд",50.397778,30.638056
"Мережа книгарень Книголенд",50.405833,30.611111
"Мережа книгарень Книголенд",50.373056,30.444444
"Мережа книгарень Книголенд",50.451111,30.521389
"Мережа книгарень Книголенд",50.428056,30.592778
"Мережа книгарень Книголенд",50.503611,30.416944
"Мережа книгарень Книголенд",49.062778,33.411944
"Мережа книгарень Книголенд",49.822778,23.9825
"Мережа книгарень Книголенд",46.427222,30.715
"Мережа книгарень Книголенд",46.583889,30.793889
"Мережа книгарень Книголенд",49.578333,34.5425
"Мережа книгарень Книголенд",49.594444,34.541389
"Мережа книгарень Книголенд",49.587222,34.556667
"Мережа книгарень Книголенд",50.597778,26.263889
"Мережа книгарень Книголенд",50.618889,26.248333
"Мережа книгарень Книголенд",50.035556,36.224444
"Мережа книгарень Книголенд",49.979167,36.260833
"Мережа книгарень Книголенд",49.982222,36.179444
"Мережа книгарень Книголенд",50.005556,36.236389
"Мережа книгарень Книголенд",49.950278,36.260833
"Мережа книгарень Книголенд",49.956944,36.359167
"Мережа книгарень Книголенд",49.995556,36.338889
"Мережа книгарень Книголенд",49.96,36.321667
"Мережа книгарень Книголенд",49.428056,26.98
"Мережа книгарень Книголенд",51.515278,31.306111
"Мережа книгарень Книголенд",50.433611,30.515278
"Немережеві книгарні",50.5075,30.498333
